ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24
1,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
2,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
3,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
4,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
5,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
6,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
7,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
8,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
9,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
10,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
11,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
12,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
13,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
14,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
15,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
16,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
17,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
18,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
19,0.8100,0.0000,0.0000,34.2868,23.2190,0.0000,0.7000,0.3000,0.0000,228.1857,44.7854,0.7143,1.3929,0.2484,0.0248,100.0000,71.0000,5.3571,6.6066,0.2597,0.3247,150.0000,12.5000,0.0649,3.5500,0.2752,0.2064,0.5504,3.7841,2.0641
